SESSION-CRYPTO FIELD TAINT V9
Parser output semantic fields established by v8: session algorithm presence/value @ +0x118/+0x11c; session key-length presence/value @ +0x120/+0x128.
Goal: find copies/consumers of this exact four-offset signature in networking code and connect it to P2P constructors.

=== CRYPTO PARSER ENTRY (confirm output pointer) 0x7c088e4-0x7c08980 ===
0x7c088e4: stp       x29, x30, [sp, #-0x60]!
0x7c088e8: stp       x28, x27, [sp, #0x10]
0x7c088ec: stp       x26, x25, [sp, #0x20]
0x7c088f0: stp       x24, x23, [sp, #0x30]
0x7c088f4: stp       x22, x21, [sp, #0x40]
0x7c088f8: stp       x20, x19, [sp, #0x50]
0x7c088fc: mov       x29, sp
0x7c08900: sub       sp, sp, #0x350
0x7c08904: mrs       x26, tpidr_el0
0x7c08908: add       x22, sp, #0x60
0x7c0890c: ldr       x8, [x26, #0x28]
0x7c08910: mov       x21, x1
0x7c08914: mov       x19, x0
0x7c08918: stur      x8, [x29, #-0x18]
0x7c0891c: ldp       q0, q1, [x0, #0xc0]
0x7c08920: stp       xzr, xzr, [sp, #0x168]
0x7c08924: str       xzr, [sp, #0x160]
0x7c08928: ldp       q3, q4, [x0, #0x90]
0x7c0892c: ldr       q2, [x0, #0xe0]
0x7c08930: stp       q3, q4, [x22, #0x90]
0x7c08934: ldp       q3, q4, [x0, #0x40]
0x7c08938: stp       q1, q2, [x22, #0xd0]
0x7c0893c: ldr       q2, [x0, #0xb0]
0x7c08940: stp       q3, q4, [sp, #0xa0]
0x7c08944: ldr       x8, [x0, #0xf0]
0x7c08948: ldrb      w9, [x0, #0xf8]
0x7c0894c: stp       q2, q0, [x22, #0xb0]
0x7c08950: ldr       q0, [x0, #0x60]
0x7c08954: ldp       q2, q1, [x0, #0x70]
0x7c08958: str       x8, [sp, #0x150]
0x7c0895c: str       q0, [sp, #0xc0]
0x7c08960: strb      w9, [sp, #0x158]
0x7c08964: ldp       q0, q3, [x0]
0x7c08968: stp       q2, q1, [x22, #0x70]
0x7c0896c: ldp       x9, x8, [x0, #0x100]
0x7c08970: stp       q0, q3, [sp, #0x60]
0x7c08974: ldp       q1, q0, [x0, #0x20]
0x7c08978: subs      x20, x8, x9
0x7c0897c: stp       q1, q0, [sp, #0x80]

=== CRYPTO PARSER SESSION FINAL WRITES 0x7c097a0-0x7c097f0 ===
0x7c097a0: strb      w9, [x19, #0xf0]
0x7c097a4: add       x9, sp, #0x60
0x7c097a8: cmp       x9, x19
0x7c097ac: str       w10, [x19, #0xf4]
0x7c097b0: strb      w8, [x19, #0xf8]
0x7c097b4: b.eq      #0x7c097c4
0x7c097b8: ldp       x1, x2, [sp, #0x160]
0x7c097bc: add       x0, x19, #0x100
0x7c097c0: bl        #0x691d118
0x7c097c4: ldrb      w8, [sp, #0x178]
0x7c097c8: mov       w21, #1
0x7c097cc: ldr       w9, [sp, #0x17c]
0x7c097d0: ldrb      w10, [sp, #0x180]
0x7c097d4: ldr       x11, [sp, #0x188]
0x7c097d8: strb      w8, [x19, #0x118]
0x7c097dc: str       w9, [x19, #0x11c]
0x7c097e0: strb      w10, [x19, #0x120]
0x7c097e4: str       x11, [x19, #0x128]
0x7c097e8: b         #0x7c097f0
0x7c097ec: mov       w21, wzr

=== PROFILE LOADER PARSER CALL AND COPY 0x7bfd430-0x7bfd780 ===
0x7bfd430: add       x2, x2, #0x10b
0x7bfd434: b         #0x7bfd448
0x7bfd438: mov       x0, x28
0x7bfd43c: bl        #0x2efc42c
0x7bfd440: adrp      x2, #0xa72000
0x7bfd444: add       x2, x2, #0x124
0x7bfd448: mov       x0, x27
0x7bfd44c: mov       x1, x26
0x7bfd450: bl        #0x7d2ad08
0x7bfd454: mov       w20, w0
0x7bfd458: mov       x0, x21
0x7bfd45c: bl        #0x8b38640
0x7bfd460: and       w8, w20, #1
0x7bfd464: ldurb     w9, [x29, #-0x38]
